datetime,pm
1/1/13 1:00,9.4
1/1/13 2:00,8.3
1/1/13 3:00,8.3
1/1/13 4:00,8.4
1/1/13 5:00,8.7
1/1/13 6:00,7.9
1/1/13 7:00,8
1/1/13 8:00,9.3
1/1/13 9:00,8.8
1/1/13 10:00,8.4
1/1/13 11:00,7.8
1/1/13 12:00,7.5
1/1/13 13:00,7.4
1/1/13 14:00,6.9
1/1/13 15:00,6.8
1/1/13 16:00,7.1
1/1/13 17:00,7.5
1/1/13 18:00,7.3
1/1/13 19:00,7.1
1/1/13 20:00,6.4
1/1/13 21:00,6.1
1/1/13 22:00,6.3
1/1/13 23:00,7.4
1/2/13 0:00,8.2
1/2/13 1:00,9
1/2/13 2:00,9.7
1/2/13 3:00,10.6
1/2/13 4:00,10
1/2/13 5:00,9.2
1/2/13 6:00,10.5
1/2/13 7:00,12.1
1/2/13 8:00,11.8
1/2/13 9:00,11.1
1/2/13 10:00,11.4
1/2/13 11:00,11.4
1/2/13 12:00,10
1/2/13 13:00,9.1
1/2/13 14:00,9.7
1/2/13 15:00,9.4
1/2/13 16:00,9.2
1/2/13 17:00,8.9
1/2/13 18:00,8.4
1/2/13 19:00,8.7
1/2/13 20:00,9.7
1/2/13 21:00,10.2
1/2/13 22:00,9.9
1/2/13 23:00,10.4
1/3/13 0:00,9.7
1/3/13 1:00,8.5
1/3/13 2:00,7.4
1/3/13 3:00,7.5
1/3/13 4:00,7.3
1/3/13 5:00,7.6
1/3/13 6:00,7.9
1/3/13 7:00,8.4
1/3/13 8:00,8.7
1/3/13 9:00,8
1/3/13 10:00,7.6
1/3/13 11:00,7.8
1/3/13 12:00,8.4
1/3/13 13:00,8.5
1/3/13 14:00,8.5
1/3/13 15:00,8.7
1/3/13 16:00,8
1/3/13 17:00,7.9
1/3/13 18:00,8.5
1/3/13 19:00,8.5
1/3/13 20:00,8.9
1/3/13 21:00,7.9
1/3/13 22:00,7.4
1/3/13 23:00,7.4
1/4/13 0:00,6.9
1/4/13 1:00,6.6
1/4/13 2:00,6.5
1/4/13 3:00,7.1
1/4/13 4:00,7.6
1/4/13 5:00,7.9
1/4/13 6:00,7.6
1/4/13 7:00,7.1
1/4/13 8:00,9.1
1/4/13 9:00,10.1
1/4/13 10:00,9.7
1/4/13 11:00,9.6
1/4/13 12:00,9.5
1/4/13 13:00,9.9
1/4/13 14:00,8.6
1/4/13 15:00,6.4
1/4/13 16:00,6.8
1/4/13 17:00,8.2
1/4/13 18:00,8.5
1/4/13 19:00,7.9
1/4/13 20:00,8.3
1/4/13 21:00,8.7
1/4/13 22:00,11.7
1/4/13 23:00,16.2
1/5/13 0:00,19.3
1/5/13 1:00,20.3
1/5/13 2:00,24.3
1/5/13 3:00,27.3
1/5/13 4:00,30.3
1/5/13 5:00,25.8
1/5/13 6:00,23.4
1/5/13 7:00,23.1
1/5/13 8:00,23.1
1/5/13 9:00,21
1/5/13 10:00,19
1/5/13 11:00,18.2
1/5/13 12:00,14.5
1/5/13 13:00,13.3
1/5/13 14:00,11.9
1/5/13 15:00,11.2
1/5/13 16:00,11.3
1/5/13 17:00,11.6
1/5/13 18:00,12.7
1/5/13 19:00,12.9
1/5/13 20:00,15.6
1/5/13 21:00,21.2
1/5/13 22:00,22.7
1/5/13 23:00,17.5
1/6/13 0:00,18
1/6/13 1:00,20.9
1/6/13 2:00,18
1/6/13 3:00,13.9
1/6/13 4:00,13.1
1/6/13 5:00,13.5
1/6/13 6:00,14.7
1/6/13 7:00,14.6
1/6/13 8:00,15.1
1/6/13 9:00,11.6
1/6/13 10:00,12.3
1/6/13 11:00,15.4
1/6/13 12:00,19.8
1/6/13 13:00,27.1
1/6/13 14:00,30.2
1/6/13 15:00,26.4
1/6/13 16:00,25.4
1/6/13 17:00,27.7
1/6/13 18:00,33.8
1/6/13 19:00,41.1
1/6/13 20:00,36.2
1/6/13 21:00,36.8
1/6/13 22:00,20.8
1/6/13 23:00,18
1/7/13 0:00,16.8
1/7/13 1:00,12.5
1/7/13 2:00,3.2
1/7/13 3:00,2.2
1/7/13 4:00,2.1
1/7/13 5:00,1.7
1/7/13 6:00,1.6
1/7/13 7:00,1.9
1/7/13 8:00,1.7
1/7/13 9:00,1.8
1/7/13 10:00,2.1
1/7/13 11:00,2
1/7/13 12:00,3.7
1/7/13 13:00,2.7
1/7/13 14:00,3.2
1/7/13 15:00,2.7
1/7/13 16:00,6.4
1/7/13 17:00,2.7
1/7/13 18:00,3.3
1/7/13 19:00,4.8
1/7/13 20:00,4.4
1/7/13 21:00,5.4
1/7/13 22:00,7.4
1/7/13 23:00,12.5
1/8/13 0:00,21.7
1/8/13 1:00,8.9
1/8/13 2:00,6.8
1/8/13 3:00,4.9
1/8/13 4:00,8.8
1/8/13 5:00,4.7
1/8/13 6:00,3.9
1/8/13 7:00,2.5
1/8/13 8:00,1.7
1/8/13 9:00,2.3
1/8/13 10:00,2.1
1/8/13 11:00,2.4
1/8/13 12:00,2
1/8/13 13:00,2.2
1/8/13 14:00,2.2
1/8/13 15:00,2.1
1/8/13 16:00,2.7
1/8/13 17:00,3.5
1/8/13 18:00,2.5
1/8/13 19:00,2.9
1/8/13 20:00,6
1/8/13 21:00,7.3
1/8/13 22:00,6.7
1/8/13 23:00,10.2
1/9/13 0:00,4.6
1/9/13 1:00,3.7
1/9/13 2:00,4.3
1/9/13 3:00,3.2
1/9/13 4:00,2.8
1/9/13 5:00,2.7
1/9/13 6:00,2.3
1/9/13 7:00,2.1
1/9/13 8:00,2.4
1/9/13 9:00,1.9
1/9/13 10:00,2.4
1/9/13 11:00,2.3
1/9/13 12:00,1.8
1/9/13 13:00,2.2
1/9/13 14:00,2.4
1/9/13 15:00,3.7
1/9/13 16:00,2.6
1/9/13 17:00,3.2
1/9/13 18:00,5.8
1/9/13 19:00,8.7
1/9/13 20:00,13.3
1/9/13 21:00,10.3
1/9/13 22:00,7.1
1/9/13 23:00,6.4
1/10/13 0:00,6.8
1/10/13 1:00,7.5
1/10/13 2:00,5.8
1/10/13 3:00,5.8
1/10/13 4:00,5.6
1/10/13 5:00,4.3
1/10/13 6:00,6.1
1/10/13 7:00,6.3
1/10/13 8:00,4.4
1/10/13 9:00,6.9
1/10/13 10:00,6.6
1/10/13 11:00,6.7
1/10/13 12:00,5.7
1/10/13 13:00,6.4
1/10/13 14:00,8
1/10/13 15:00,7.1
1/10/13 16:00,7
1/10/13 17:00,8.9
1/10/13 18:00,17.2
1/10/13 19:00,21.3
1/10/13 20:00,23.6
1/10/13 21:00,14.8
1/10/13 22:00,13.3
1/10/13 23:00,14.1
1/11/13 0:00,18.4
1/11/13 1:00,25.2
1/11/13 2:00,21.5
1/11/13 3:00,12.6
1/11/13 4:00,10.3
1/11/13 5:00,11.6
1/11/13 6:00,10.3
1/11/13 7:00,11.7
1/11/13 8:00,11.7
1/11/13 9:00,9.1
1/11/13 10:00,11.5
1/11/13 11:00,12.9
1/11/13 12:00,11.2
1/11/13 13:00,9.2
1/11/13 14:00,9.1
1/11/13 15:00,9.6
1/11/13 16:00,9.4
1/11/13 17:00,11.7
1/11/13 18:00,27.4
1/11/13 19:00,32.5
1/11/13 20:00,51.6
1/11/13 21:00,56.3
1/11/13 22:00,64.4
1/11/13 23:00,81.3
1/12/13 0:00,72.5
1/12/13 1:00,60.7
1/12/13 2:00,67.3
1/12/13 3:00,73.4
1/12/13 4:00,64.4
1/12/13 5:00,58
1/12/13 6:00,42.1
1/12/13 7:00,37.9
1/12/13 8:00,21.6
1/12/13 9:00,29.5
1/12/13 10:00,29
1/12/13 11:00,26.3
1/12/13 12:00,22.6
1/12/13 13:00,22.6
1/12/13 14:00,25.9
1/12/13 15:00,27.5
1/12/13 16:00,21.7
1/12/13 17:00,24
1/12/13 18:00,28.7
1/12/13 19:00,34.2
1/12/13 20:00,44.6
1/12/13 21:00,66.1
1/12/13 22:00,65.1
1/12/13 23:00,42.3
1/13/13 0:00,40.8
1/13/13 1:00,35.8
1/13/13 2:00,30.5
1/13/13 3:00,28.3
1/13/13 4:00,24.4
1/13/13 5:00,22.5
1/13/13 6:00,18.3
1/13/13 7:00,10.9
1/13/13 8:00,13.1
1/13/13 9:00,8.5
1/13/13 10:00,7.9
1/13/13 11:00,8.5
1/13/13 12:00,7.7
1/13/13 13:00,9.4
1/13/13 14:00,14
1/13/13 15:00,18.4
1/13/13 16:00,17.3
1/13/13 17:00,18.8
1/13/13 18:00,24.7
1/13/13 19:00,26.4
1/13/13 20:00,25.6
1/13/13 21:00,29.6
1/13/13 22:00,30
1/13/13 23:00,39.8
1/14/13 0:00,33.7
1/14/13 1:00,29
1/14/13 2:00,27.9
1/14/13 3:00,27.8
1/14/13 4:00,27.3
1/14/13 5:00,25
1/14/13 6:00,21.5
1/14/13 7:00,25.9
1/14/13 8:00,28.8
1/14/13 9:00,26.8
1/14/13 10:00,26
1/14/13 11:00,22
1/14/13 12:00,18.4
1/14/13 13:00,16.3
1/14/13 14:00,16.1
1/14/13 15:00,15.7
1/14/13 16:00,19.9
1/14/13 17:00,32.2
1/14/13 18:00,29.9
1/14/13 19:00,22.9
1/14/13 20:00,20.5
1/14/13 21:00,24.1
1/14/13 22:00,26.5
1/14/13 23:00,27.8
1/15/13 0:00,27.6
1/15/13 1:00,26.8
1/15/13 2:00,31.7
1/15/13 3:00,29.9
1/15/13 4:00,25.2
1/15/13 5:00,25.3
1/15/13 6:00,25.2
1/15/13 7:00,22.8
1/15/13 8:00,19.7
1/15/13 9:00,19.2
1/15/13 10:00,23
1/15/13 11:00,20.2
1/15/13 12:00,19.5
1/15/13 13:00,19.2
1/15/13 14:00,15.6
1/15/13 15:00,11
1/15/13 16:00,12.4
1/15/13 17:00,10.9
1/15/13 18:00,10.5
1/15/13 19:00,10.4
1/15/13 20:00,11
1/15/13 21:00,12.7
1/15/13 22:00,17.6
1/15/13 23:00,19.7
1/16/13 0:00,15.3
1/16/13 1:00,16.4
1/16/13 2:00,14.9
1/16/13 3:00,15.4
1/16/13 4:00,15.4
1/16/13 5:00,15.9
1/16/13 6:00,16.5
1/16/13 7:00,18.3
1/16/13 8:00,19.9
1/16/13 9:00,21
1/16/13 10:00,24.3
1/16/13 11:00,25.8
1/16/13 12:00,26.2
1/16/13 13:00,26.3
1/16/13 14:00,25.9
1/16/13 15:00,28.1
1/16/13 16:00,29.7
1/16/13 17:00,27.5
1/16/13 18:00,25.5
1/16/13 19:00,16.6
1/16/13 20:00,15.9
1/16/13 21:00,21
1/16/13 22:00,18.1
1/16/13 23:00,30.8
1/17/13 0:00,24.9
1/17/13 1:00,25.1
1/17/13 2:00,22
1/17/13 3:00,19.3
1/17/13 4:00,14.8
1/17/13 5:00,12.8
1/17/13 6:00,11.6
1/17/13 7:00,11.7
1/17/13 8:00,12.2
1/17/13 9:00,13.2
1/17/13 10:00,13.8
1/17/13 11:00,13.2
1/17/13 12:00,12.8
1/17/13 13:00,12.9
1/17/13 14:00,13.5
1/17/13 15:00,13.5
1/17/13 16:00,15.1
1/17/13 17:00,12.7
1/17/13 18:00,14.1
1/17/13 19:00,13.5
1/17/13 20:00,13
1/17/13 21:00,14.3
1/17/13 22:00,14.4
1/17/13 23:00,13.1
1/18/13 0:00,16.5
1/18/13 1:00,14.9
1/18/13 2:00,17.4
1/18/13 3:00,21.4
1/18/13 4:00,17.4
1/18/13 5:00,16.4
1/18/13 6:00,11.5
1/18/13 7:00,10.6
1/18/13 8:00,12.5
1/18/13 9:00,15
1/18/13 10:00,17.1
1/18/13 11:00,20.1
1/18/13 12:00,20.6
1/18/13 13:00,27.4
1/18/13 14:00,29.7
1/18/13 15:00,24
1/18/13 16:00,24.4
1/18/13 17:00,47.3
1/18/13 18:00,93.7
1/18/13 19:00,89.1
1/18/13 20:00,48.1
1/18/13 21:00,39.3
1/18/13 22:00,30.1
1/18/13 23:00,26.8
1/19/13 0:00,28
1/19/13 1:00,18.5
1/19/13 2:00,23.9
1/19/13 3:00,19.7
1/19/13 4:00,16.7
1/19/13 5:00,26.7
1/19/13 6:00,27.3
1/19/13 7:00,26.7
1/19/13 8:00,25.8
1/19/13 9:00,30.3
1/19/13 10:00,26.5
1/19/13 11:00,29.3
1/19/13 12:00,34.2
1/19/13 13:00,38.2
1/19/13 14:00,38.8
1/19/13 15:00,35
1/19/13 16:00,34.9
1/19/13 17:00,39.5
1/19/13 18:00,39.3
1/19/13 19:00,42.1
1/19/13 20:00,58
1/19/13 21:00,42.3
1/19/13 22:00,32.3
1/19/13 23:00,35.6
1/20/13 0:00,26
1/20/13 1:00,20.5
1/20/13 2:00,16.5
1/20/13 3:00,18.4
1/20/13 4:00,15.8
1/20/13 5:00,14.9
1/20/13 6:00,14.6
1/20/13 7:00,15.1
1/20/13 8:00,14.3
1/20/13 9:00,14.1
1/20/13 10:00,15
1/20/13 11:00,16.5
1/20/13 12:00,18.4
1/20/13 13:00,17.9
1/20/13 14:00,15.4
1/20/13 15:00,9.8
1/20/13 16:00,10.6
1/20/13 17:00,11.7
1/20/13 18:00,12.9
1/20/13 19:00,11.5
1/20/13 20:00,11.4
1/20/13 21:00,11
1/20/13 22:00,10.8
1/20/13 23:00,11
1/21/13 0:00,22.1
1/21/13 1:00,26
1/21/13 2:00,23.2
1/21/13 3:00,21.6
1/21/13 4:00,18.5
1/21/13 5:00,15.4
1/21/13 6:00,15.8
1/21/13 7:00,16.6
1/21/13 8:00,19.5
1/21/13 9:00,14.6
1/21/13 10:00,13.8
1/21/13 11:00,21
1/21/13 12:00,19.1
1/21/13 13:00,18
1/21/13 14:00,14
1/21/13 15:00,28.4
1/21/13 16:00,33
1/21/13 17:00,24.9
1/21/13 18:00,19.3
1/21/13 19:00,25.7
1/21/13 20:00,50.5
1/21/13 21:00,53.1
1/21/13 22:00,44.3
1/21/13 23:00,25.7
1/22/13 0:00,19.7
1/22/13 1:00,47.5
1/22/13 2:00,40.5
1/22/13 3:00,35.4
1/22/13 4:00,31.9
1/22/13 5:00,12.6
1/22/13 6:00,19.6
1/22/13 7:00,14.2
1/22/13 8:00,10.9
1/22/13 9:00,12.3
1/22/13 10:00,16.2
1/22/13 11:00,8.8
1/22/13 12:00,8.2
1/22/13 13:00,9
1/22/13 14:00,9.7
1/22/13 15:00,9.7
1/22/13 16:00,9.6
1/22/13 17:00,20.4
1/22/13 18:00,22.7
1/22/13 19:00,20.4
1/22/13 20:00,20.6
1/22/13 21:00,18
1/22/13 22:00,19
1/22/13 23:00,17.6
1/23/13 0:00,18.5
1/23/13 1:00,16.8
1/23/13 2:00,20.6
1/23/13 3:00,16.5
1/23/13 4:00,14.1
1/23/13 5:00,13.6
1/23/13 6:00,14
1/23/13 7:00,13.2
1/23/13 8:00,13.5
1/23/13 9:00,14.7
1/23/13 10:00,17.5
1/23/13 11:00,17.2
1/23/13 12:00,14.9
1/23/13 13:00,13.3
1/23/13 14:00,15.1
1/23/13 15:00,15.9
1/23/13 16:00,16.6
